2017/01/18 19:08:59 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2017/01/18 19:08:59 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2017/01/18 19:08:59 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2017/01/18 19:08:59 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Unit Test 
2017/01/18 19:08:59 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group Unit Test. 
2017/01/18 19:08:59 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2017/01/18 19:08:59 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2017/01/18 19:08:59 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2017/01/18 19:08:59 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2017/01/18 19:08:59 INFO  - jmeter.threads.JMeterThread: Thread started: Unit Test 1-1 
2017/01/18 19:08:59 INFO  - jmeter.services.FileServer: Stored: csv/opportunityType_CH.csv 
2017/01/18 19:08:59 INFO  - jmeter.services.FileServer: Stored: csv/inventoryType_CH.csv 
2017/01/18 19:08:59 INFO  - jmeter.services.FileServer: Stored: csv/advPlatformType.csv 
2017/01/18 19:08:59 INFO  - jmeter.services.FileServer: Stored: csv/channel.csv 
2017/01/18 19:08:59 INFO  - jmeter.services.FileServer: Stored: csv/event.csv 
2017/01/18 19:08:59 INFO  - jmeter.services.FileServer: Stored: csv/regionId.csv 
2017/01/18 19:08:59 INFO  - jmeter.threads.JMeterThread: Thread is done: Unit Test 1-1 
2017/01/18 19:08:59 INFO  - jmeter.threads.JMeterThread: Thread finished: Unit Test 1-1 
2017/01/18 19:08:59 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2017/01/18 19:08:59 INFO  - jmeter.services.FileServer: Close: csv/regionId.csv 
2017/01/18 19:08:59 INFO  - jmeter.services.FileServer: Close: csv/channel.csv 
2017/01/18 19:08:59 INFO  - jmeter.services.FileServer: Close: csv/event.csv 
2017/01/18 19:08:59 INFO  - jmeter.services.FileServer: Close: csv/opportunityType_CH.csv 
2017/01/18 19:08:59 INFO  - jmeter.services.FileServer: Close: csv/inventoryType_CH.csv 
2017/01/18 19:08:59 INFO  - jmeter.services.FileServer: Close: csv/advPlatformType.csv 
2017/01/18 19:08:59 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2017/01/18 19:12:39 INFO  - jmeter.gui.action.Load: Loading file: /Users/hsyang/test/jmx/ADDS Request.jmx 
2017/01/18 19:12:39 INFO  - jmeter.services.FileServer: Set new base='/Users/hsyang/test/jmx' 
2017/01/18 19:12:39 INFO  - jmeter.save.SaveService: Loading file: /Users/hsyang/test/jmx/ADDS Request.jmx 
2017/01/18 19:12:39 INFO  - jmeter.services.FileServer: Set new base='/Users/hsyang/test/jmx' 
2017/01/18 19:12:47 INFO  - jmeter.gui.action.Load: Loading file: /Users/hsyang/test/jmx/ADDS_Request_c.jmx 
2017/01/18 19:12:47 INFO  - jmeter.services.FileServer: Set new base='/Users/hsyang/test/jmx' 
2017/01/18 19:12:47 INFO  - jmeter.save.SaveService: Loading file: /Users/hsyang/test/jmx/ADDS_Request_c.jmx 
2017/01/18 19:12:47 INFO  - jmeter.services.FileServer: Set new base='/Users/hsyang/test/jmx' 
2017/01/18 19:13:30 INFO  - jmeter.gui.action.Load: Loading file: /Users/hsyang/test/jmx/ADDS Request.jmx 
2017/01/18 19:13:30 INFO  - jmeter.services.FileServer: Set new base='/Users/hsyang/test/jmx' 
2017/01/18 19:13:30 INFO  - jmeter.save.SaveService: Loading file: /Users/hsyang/test/jmx/ADDS Request.jmx 
2017/01/18 19:13:30 INFO  - jmeter.services.FileServer: Set new base='/Users/hsyang/test/jmx' 
2017/01/18 19:13:46 INFO  - jmeter.gui.action.What: TestElement:org.apache.jmeter.testelement.TestPlan, guiClassName:org.apache.jmeter.control.gui.TestPlanGui 
